书名,页面地址,图片地址
 Python程序设计教程 ,http://product.dangdang.com/24135581.html,http://img3x1.ddimg.cn/74/0/24135581-1_b_6.jpg
 Python程序设计教程 ,http://product.dangdang.com/24031123.html,http://img3x3.ddimg.cn/61/30/24031123-1_b_6.jpg
 Python程序设计 ,http://product.dangdang.com/23759719.html,http://img3x9.ddimg.cn/16/21/23759719-1_b_650.jpg
" Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython ",http://product.dangdang.com/1223492520.html,http://img3x0.ddimg.cn/30/15/1223492520-1_b_0.jpg
 Python数据科学实践指南 ,http://product.dangdang.com/25085492.html,http://img3x2.ddimg.cn/80/10/25085492-1_b_2.jpg
 Python语言程序设计 ,http://product.dangdang.com/23956641.html,http://img3x1.ddimg.cn/27/29/23956641-1_b_9.jpg
 Python Web开发学习实录（配光盘）（Web程序员成功之路） ,http://product.dangdang.com/22511531.html,http://img3x1.ddimg.cn/20/28/22511531-1_b_1.jpg
 Python网络编程 第3版 ,http://product.dangdang.com/24034842.html,http://img3x2.ddimg.cn/18/12/24034842-1_b_5.jpg
 【预订】Python Scripting for Arcgis ,http://product.dangdang.com/1219555708.html,http://img3x8.ddimg.cn/52/3/1219555708-1_b_0.jpg
 Python与数据科学 ,http://product.dangdang.com/23940557.html,http://img3x7.ddimg.cn/80/3/23940557-1_b_5.jpg
" Python语言程序设计（英文版,作者全新编写针对Python程序设计的权威教材） ",http://product.dangdang.com/23215938.html,http://img3x8.ddimg.cn/42/29/23215938-1_b_1.jpg
 Python Cookbook（第2版）中文版(Python Cookbook（第2版）中文版（非常实用的Python技术参考手册）) ,http://product.dangdang.com/20836565.html,http://img3x5.ddimg.cn/35/15/20836565-1_b_2.jpg
 【预订】Python 3 and C or C++ ,http://product.dangdang.com/1162375708.html,http://img3x8.ddimg.cn/76/25/1162375708-1_b_0.jpg
 Rapid GUI Programming with Python and Qt (Prentice Hall Open Source Software Development) [ISBN: 978-0132354189] ,http://product.dangdang.com/1160918426.html,http://img3x6.ddimg.cn/74/25/1160918426-1_b_1.jpg
 【预订】Natural Language Processing with Python ,http://product.dangdang.com/1062128408.html,http://img3x8.ddimg.cn/77/7/1062128408-1_b_0.jpg
 Python 语言构建机器学习系统 第2版（影印版） ,http://product.dangdang.com/23823645.html,http://img3x5.ddimg.cn/87/11/23823645-1_b_2.jpg
 Spark for Python Developers(电子书) ,http://product.dangdang.com/1900535711.html,http://img3x1.ddimg.cn/41/1/1900535711-1_b_2.jpg
 Getting Started with Python Data Analysis(电子书) ,http://product.dangdang.com/1900503140.html,http://img3x0.ddimg.cn/41/27/1900503140-1_b_0.jpg
 Web Scraping with Python(电子书) ,http://product.dangdang.com/1900503113.html,http://img3x3.ddimg.cn/14/0/1900503113-1_b_0.jpg
 Mastering Python for Finance(电子书) ,http://product.dangdang.com/1900491333.html,http://img3x3.ddimg.cn/15/23/1900491333-1_b_4.jpg
 Learning scikit-learn: Machine Learning in Python(电子书) ,http://product.dangdang.com/1900490249.html,http://img3x9.ddimg.cn/20/12/1900490249-1_b_8.jpg
 Building Machine Learning Systems with Python - Second Edition(电子书) ,http://product.dangdang.com/1900482367.html,http://img3x7.ddimg.cn/58/11/1900482367-1_b_0.jpg
 【预订】Beginning Programming with Python for Dummies ,http://product.dangdang.com/1261304429.html,http://img3x9.ddimg.cn/77/33/1261304429-1_b_1.jpg
 【预订】Hello! Python ,http://product.dangdang.com/1250610308.html,http://img3x8.ddimg.cn/35/22/1250610308-1_b_0.jpg
 【预订】Python Text Processing with Nltk 2.0 Cookbook ,http://product.dangdang.com/1153344708.html,http://img3x8.ddimg.cn/54/22/1153344708-1_b_0.jpg
 【预订】Complete Monty Python's Flying Circus ,http://product.dangdang.com/1115505508.html,http://img3x8.ddimg.cn/40/19/1115505508-1_b_1.jpg
 Python Cookbook [ISBN: 978-1449340377] ,http://product.dangdang.com/1016655426.html,http://img3x6.ddimg.cn/72/25/1016655426-1_b_1.jpg
 【预订】Fundamentals of Python: Data Structures ,http://product.dangdang.com/1015689831.html,http://img3x1.ddimg.cn/24/19/1015689831-1_b_1.jpg
 从问题到程序 用Python学编程和计算 ,http://product.dangdang.com/25094051.html,http://img3x1.ddimg.cn/26/22/25094051-1_b_3.jpg
 Python程序设计案例教程 ,http://product.dangdang.com/25083705.html,http://img3x5.ddimg.cn/75/36/25083705-1_b_0.jpg
 Python开发实践教程（高等职业教育“十三五”规划教材） ,http://product.dangdang.com/24178434.html,http://img3x4.ddimg.cn/60/7/24178434-1_b_1.jpg
 Python二维游戏编程（张太红） ,http://product.dangdang.com/23792999.html,http://img3x9.ddimg.cn/32/1/23792999-1_b_3.jpg
 树莓派Python编程入门与实战 ,http://product.dangdang.com/23783571.html,http://img3x1.ddimg.cn/9/8/23783571-1_b_1.jpg
 Python 3面向对象编程 第2版（影印版） ,http://product.dangdang.com/25079360.html,http://img3x0.ddimg.cn/86/20/25079360-1_b_1.jpg
 Python并行编程参考手册（影印版） ,http://product.dangdang.com/25074833.html,http://img3x3.ddimg.cn/14/7/25074833-1_b_1.jpg
 Artificial Intelligence with Python(电子书) ,http://product.dangdang.com/1900655231.html,http://img3x1.ddimg.cn/68/11/1900655231-1_b_0.jpg
 机器学习系统设计：Python语言实现 ,http://product.dangdang.com/25091599.html,http://img3x9.ddimg.cn/49/12/25091599-1_b_2.jpg
 Python爬虫开发与项目实战 ,http://product.dangdang.com/25091587.html,http://img3x7.ddimg.cn/37/0/25091587-1_b_2.jpg
 【预订】Python Data Science Handbook: Tools and Techniques for Deve... 9781491912058 ,http://product.dangdang.com/1312822049.html,http://img3x9.ddimg.cn/77/0/1312822049-1_b_2.jpg
 【预订】Python in a Nutshell: A Desktop Quick Reference 9781449392925 ,http://product.dangdang.com/1312821449.html,http://img3x9.ddimg.cn/71/29/1312821449-1_b_2.jpg
 【预订】Geoprocessing with Python 9781617292149 ,http://product.dangdang.com/1312820949.html,http://img3x9.ddimg.cn/66/10/1312820949-1_b_2.jpg
 【预订】Data Visualization with Python and JavaScript 9781491920510 ,http://product.dangdang.com/1312817849.html,http://img3x9.ddimg.cn/35/18/1312817849-1_b_2.jpg
 【预订】The Quick Python Book 9781935182207 ,http://product.dangdang.com/1312815249.html,http://img3x9.ddimg.cn/9/8/1312815249-1_b_2.jpg
 【预订】Introducing Python: Modern Computing in Simple Packages 9781449359362 ,http://product.dangdang.com/1312809749.html,http://img3x9.ddimg.cn/53/21/1312809749-1_b_2.jpg
 【预订】Python Crash Course 9781593276034 ,http://product.dangdang.com/1312807549.html,http://img3x9.ddimg.cn/31/4/1312807549-1_b_2.jpg
 【预订】Python for Kids: A Playful Introduction to Programming 9781593274078 ,http://product.dangdang.com/1312803249.html,http://img3x9.ddimg.cn/87/33/1312803249-1_b_2.jpg
 【预订】Black Hat Python: Python Programming for Hackers and Pentes... 9781593275907 ,http://product.dangdang.com/1312801249.html,http://img3x9.ddimg.cn/67/31/1312801249-1_b_2.jpg
 【预订】Mongodb and Python: Patterns and Processes for the Popular ... 9781449310370 ,http://product.dangdang.com/1312799049.html,http://img3x9.ddimg.cn/45/14/1312799049-1_b_2.jpg
